Dist_N,Dist_E,Dist_D,PowerRx,XZ,YZ,MAG
1.5072999999999999,-8.9747,44.3012,-59.753636030656125,357.481,250.017,223.121
1.5392,-8.9714,44.3296,-60.080349530444266,356.769,254.055,223.076
1.5686000000000002,-9.0112,44.3679,-60.18027807616697,357.46,259.695,223.416
1.4183000000000001,-9.0275,44.381400000000006,-60.055863151249056,357.035,257.005,222.902
1.419,-9.0097,44.3317,-59.94151416114417,357.035,257.005,222.902
1.4199000000000002,-8.9641,44.231700000000004,-60.04633024927645,357.252,255.964,223.376
1.4979,-8.9489,44.212799999999994,-60.26339930976679,,,
1.5102000000000002,-8.9598,44.1805,-60.08964465529753,357.7,248.199,223.414
1.5638999999999998,-8.8558,43.9429,-60.200521493715726,356.999,257.005,223.554
1.5541999999999998,-8.8814,43.983000000000004,-60.24152459044484,357.905,251.565,223.291
1.5515,-8.925,44.1924,-60.0610078214428,357.93,263.66,223.119
1.5597,-8.912,44.2775,-60.175473146533065,357.938,251.565,223.599
1.5418,-8.937999999999999,44.3958,-60.11053310784115,357.45,250.017,222.983
1.4889,-8.9187,44.414300000000004,-59.96450110751831,357.913,246.038,223.243
1.4184,-8.9142,44.489799999999995,-60.04141227736752,357.481,275.194,223.87
1.3169,-8.7636,44.2082,-59.99789251797929,357.46,254.745,223.116
1.3144,-8.7928,44.311400000000006,-59.94759842687788,356.999,252.897,223.468
1.2691,-8.824,44.4683,-59.98839755265653,356.58,255.069,223.201
1.2055,-8.777999999999999,44.444300000000005,-60.18708756829604,357.47,264.806,222.814
1.0653,-8.7384,44.346599999999995,-59.86380911503404,357.23,260.538,223.082
1.0759,-8.6685,44.241899999999994,-60.092418037110995,357.913,246.038,223.374
1.0712000000000002,-8.6598,44.2702,-60.022401322958345,357.429,250.017,223.203
1.0183,-8.6579,44.311800000000005,-60.11289418411706,357.263,260.538,222.941
1.0778,-8.6799,44.414899999999996,-60.00242579445654,357.709,248.199,223.381
1.1882,-8.684099999999999,44.446000000000005,-60.16960584665035,357.691,253.301,223.464
1.2337,-8.6576,44.4028,-60.15872451958926,356.963,252.897,223.254
1.2015,-8.5813,44.360200000000006,-59.835021119532676,357.938,251.565,223.376
1.0996,-8.6141,44.309,-59.988574826890535,357.691,253.301,223.01
1.0305,-8.5848,44.3196,-60.03200084782202,357.691,243.435,223.424
0.8915000000000001,-8.5851,44.241800000000005,-60.11956798819401,357.23,260.538,223.152
0.8598,-8.5118,44.107,-60.204577837441576,357.481,245.556,223.243
0.7798999999999999,-8.465,43.8979,-60.11763984855669,356.795,254.055,222.866
0.7389,-8.3937,43.7488,-60.105744607773055,357.922,246.038,223.336
0.746,-8.3798,43.6863,-60.04298771631471,356.338,259.38,223.161
0.7581,-8.4199,43.696999999999996,-60.21796222771477,357.7,248.199,223.214
0.6679999999999999,-8.51,43.8584,-60.05057439777255,357.011,248.963,223.468
0.5267000000000001,-8.4674,43.743100000000005,-59.86741904878417,357.922,251.565,223.511
0.545,-8.4663,43.728100000000005,-60.07404704538327,357.691,253.301,223.294
0.5562,-8.44,43.6474,-59.92324503378401,357.46,259.695,223.022
0.534,-8.4021,43.541599999999995,-59.75275908616929,357.47,259.695,223.046
0.4779,-8.4412,43.5791,-60.02414861160507,357.691,258.69,223.119
0.475,-8.440800000000001,43.533100000000005,-59.921557261488545,357.691,264.289,223.468
0.4228,-8.437100000000001,43.5032,-59.993670244266404,357.913,251.565,223.169
0.3381,-8.4712,43.5128,-60.128602314070804,356.756,250.346,223.509
0.3797,-8.463,43.451899999999995,-60.024307801208494,357.709,258.69,223.283
0.36579999999999996,-8.3939,43.289300000000004,-60.190006107991465,356.999,261.254,223.24
