XZ,YZ,MAG,PowerRx
90.269,87.849,164.956,-42.07847222724134
90.269,87.849,164.956,-42.03978358035218
90.269,87.849,164.956,-42.11312753834329
90.0,87.2866,165.481,-42.08452213298533
90.0,87.2866,165.481,-42.08754945075739
90.0,87.2866,165.481,-42.06897918346562
90.0,87.2866,165.481,-42.13861769543149
90.0,87.2866,165.481,-42.101490117372826
90.0,87.2866,165.481,-42.02575872002508
90.0,87.2866,165.054,-41.972276329965574
90.0,87.2866,165.054,-41.94183284540952
90.0,87.2866,165.054,-42.12894404818738
90.0,87.849,165.054,-42.02381452228088
90.0,87.849,165.054,-41.9521490174364
90.0,87.849,165.054,-41.97621744078059
90.0,87.849,164.205,-42.07533880158308
90.0,87.849,164.145,-42.04399039962148
90.0,87.849,164.145,-42.054851634864185
90.0,87.849,164.145,-42.02181897327386
90.0,87.849,164.145,-42.09869961860456
90.0,87.849,164.145,-42.07548435146143
90.0,87.849,164.145,-42.10578635118135
90.0,87.849,164.956,-42.175185091697216
90.0,87.849,164.956,-42.204646968552304
90.0,87.849,164.956,-42.082263714942044
90.0,87.849,164.956,-42.17634379044324
90.0,87.849,164.956,-42.17104270599789
90.0,87.849,164.956,-42.14821707046567
90.0,87.849,165.379,-42.104276318624905
90.0,87.849,165.379,-42.09764115878551
90.0,87.849,165.379,-42.130793312729026
90.2715,87.5576,165.379,-42.04004514332334
90.2715,87.5576,165.379,-42.07254658987033
90.2715,87.5576,165.379,-41.94349844626231
90.2715,87.5576,164.745,-41.87164346407954
90.2715,87.5576,164.745,-41.86455581071562
90.2715,87.5576,164.745,-41.85889115629347
90.2715,87.5576,164.745,-41.8469744447113
90.2715,87.5576,164.745,-41.89243589362856
90.5354,88.394,164.899,-41.87134322946021
90.5354,88.394,164.899,-41.940011053821195
90.5354,88.394,164.899,-41.903755916228405
90.5354,88.394,164.899,-41.86509467571321
90.5354,88.394,164.899,-41.92857347534453
90.5354,88.394,164.899,-41.86752707523325
90.5354,88.394,164.417,-41.89337647380875
90.5354,88.394,164.417,-41.981448839057364
90.2715,88.0999,164.417,-42.0411876126463
90.2715,88.0999,164.417,-42.05501393456846
90.2715,88.0999,164.417,-42.03176995538848
90.2715,88.0999,164.707,-42.07967299043925
90.2715,88.0999,164.707,-41.98574114022133
90.2715,88.0999,164.707,-42.014942584283766
90.2715,88.0999,164.707,-42.038355370605075
90.2715,88.0999,164.707,-42.059225068815486
90.269,87.312,164.956,-41.95801606696296
90.269,87.312,164.956,-41.96601574710269
90.269,87.312,164.956,-41.9031500934709
90.269,87.312,164.956,-41.91664759632669
90.269,87.312,164.956,-41.82573313062902
90.269,87.312,164.956,-41.8580240549116
90.269,87.312,164.452,-41.8808431899955
90.269,87.312,164.452,-41.90346998429541
90.269,87.312,164.452,-41.89294677440729
90.2677,87.3246,164.452,-41.90046088123192
90.2677,87.3246,164.452,-41.94808059866534
90.2677,87.3246,164.452,-42.03581847203826
90.2677,87.3246,165.543,-41.962895043666215
90.2677,87.3246,165.543,-41.96744117544884
90.2677,87.3246,165.543,-41.95577785267217
