relPosN,relPosE,relPosD,accN,accE,accD,pos_type
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
